#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=RASPISHAKE,http://raspberryshake.net/
AM|R2062|54.06306306|-2.271945697|157.0|Raspberry Shake Citizen Science Station|2019-10-25T10:00:30|2019-11-15T17:00:11
AM|R2062|54.06306306|-2.271945697|157.0|Raspberry Shake Citizen Science Station|2019-11-20T10:30:47|2019-11-22T17:00:08
AM|R2062|54.06306306|-2.271945697|157.0|Raspberry Shake Citizen Science Station|2019-11-27T10:16:30|2019-11-29T17:00:10
AM|R2062|54.06306306|-2.271945697|157.0|Raspberry Shake Citizen Science Station|2019-12-04T19:20:52|2019-12-06T17:00:11
AM|R2062|54.06306306|-2.271945697|157.0|Raspberry Shake Citizen Science Station|2020-03-28T12:02:19|2020-03-30T17:00:17
AM|R2303|52.64864865|-0.6533927269|83.0|Raspberry Shake Citizen Science Station|2019-07-17T19:01:45|2019-07-24T17:00:05
AM|R2303|52.64864865|-0.6533927269|83.0|Raspberry Shake Citizen Science Station|2019-07-26T09:17:29|2019-07-28T17:00:05
AM|R2303|51.63963964|-3.919697959|15.0|Raspberry Shake Citizen Science Station|2019-07-31T08:37:05|2019-08-24T17:00:05
AM|R2303|51.63963964|-3.919697959|15.0|Raspberry Shake Citizen Science Station|2019-10-05T07:40:25|2020-04-30T17:00:28
AM|R2303|51.63963964|-3.919697959|15.0|Raspberry Shake Citizen Science Station|2020-06-30T23:15:32|2020-07-02T17:00:27
AM|R2A48|52.61261261|1.23171109|23.0|Raspberry Shake Citizen Science Station|2019-10-10T11:22:47|2019-10-10T11:26:11
AM|R2A48|52.6036036|1.231398848|29.0|Raspberry Shake Citizen Science Station|2019-10-10T11:26:11|2019-10-26T17:00:07
AM|R2A48|52.6036036|1.231398848|29.0|Raspberry Shake Citizen Science Station|2019-11-06T17:18:14|2019-11-09T17:00:08
AM|R2A48|52.6036036|1.231398848|29.0|Raspberry Shake Citizen Science Station|2019-11-12T11:22:04|2019-11-12T15:08:46
AM|R2A48|52.61261261|1.231685766|15.0|Raspberry Shake Citizen Science Station|2019-11-12T15:08:46|2019-11-15T17:00:12
AM|R2A48|52.61261261|1.231685766|15.0|Raspberry Shake Citizen Science Station|2019-11-19T17:19:37|2019-11-20T11:10:07
AM|R2A48|52.6036036|1.231398848|29.0|Raspberry Shake Citizen Science Station|2019-11-20T11:10:07|2599-12-31T23:59:59
AM|R2E51|51.45945946|-0.01445962488|26.0|Raspberry Shake Citizen Science Station|2020-02-16T23:06:16|2020-04-10T17:00:20
AM|R2E51|51.45945946|-0.01445962488|26.0|Raspberry Shake Citizen Science Station|2020-04-11T17:11:00|2020-06-13T17:00:28
AM|R303A|50.10810811|-5.170157098|60.0|Raspberry Shake Citizen Science Station|2020-04-03T07:37:07|2599-12-31T23:59:59
AM|R3338|52.63963964|-0.6681783828|83.0|Raspberry Shake Citizen Science Station|2019-08-30T09:18:47|2019-09-01T17:00:07
AM|R3338|52.63963964|-0.6681783828|83.0|Raspberry Shake Citizen Science Station|2020-01-09T14:21:17|2020-01-11T17:00:12
AM|R3FD8|52.22522523|-2.735556079|96.0|Raspberry Shake Citizen Science Station|2017-11-23T13:16:55|2599-12-31T23:59:59
AM|R440A|51.44144144|-2.544280794|32.0|Raspberry Shake Citizen Science Station|2018-03-18T14:58:00|2019-07-29T17:00:09
AM|R440A|51.44144144|-2.544280794|32.0|Raspberry Shake Citizen Science Station|2019-07-29T19:50:00|2599-12-31T23:59:59
AM|R4506|51.74774775|-0.4511536393|138.0|Raspberry Shake Citizen Science Station|2017-01-07T11:29:35|2019-09-10T17:00:08
AM|R4506|51.74774775|-0.4511536393|138.0|Raspberry Shake Citizen Science Station|2019-11-10T14:04:51|2019-11-10T19:52:27
AM|R4506|51.53153153|-2.38955212|100.0|Raspberry Shake Citizen Science Station|2019-11-10T19:52:27|2019-11-12T17:00:09
AM|R4506|51.53153153|-2.38955212|100.0|Raspberry Shake Citizen Science Station|2019-12-06T18:43:03|2020-07-19T17:00:35
AM|R453F|52.98198198|-0.7482941848|26.0|Raspberry Shake Citizen Science Station|2018-01-29T20:13:53|2020-04-20T17:00:21
AM|R453F|52.98198198|-0.7482941848|26.0|Raspberry Shake Citizen Science Station|2020-05-05T08:49:18|2020-06-08T17:00:25
AM|R453F|52.98198198|-0.7482941848|26.0|Raspberry Shake Citizen Science Station|2020-06-12T05:30:22|2599-12-31T23:59:59
AM|R459C|52.87387387|-1.074820769|69.0|Raspberry Shake Citizen Science Station|2018-06-04T13:58:20|2019-08-30T17:00:08
AM|R459C|52.87387387|-1.074805898|67.0|Raspberry Shake Citizen Science Station|2019-09-10T10:50:32|2019-09-21T17:00:07
